TriggerID,EventType,SubjectType,SubjectID,TargetType,TargetID,ActionType,AttackType,MapGroup,CombatState,PartyState,CharacterState,ValueMainType,ValueMain,ValueSubType,ValueSub,Speaker,Note
T10001,Chat.Event.DamageTaken,Actor.Type.Player,Actor.Heru,Actor.Type.Player,Actor.Heru,Chat.Action.EnemyAttack,Chat.Attack.Melee,Map.Group.Surface,State.Combat.Normal,State.Party.AllAlive,State.Character.LowHP,Value.Main.Damage,20,Value.Sub.HPPercent,30,Speaker.Horus,헤루가 일반 전투 중 근접 피해를 받고 저체력일 때
T10002,Chat.Event.DamageTaken,Actor.Type.Player,Actor.Nefer,Actor.Type.Player,Actor.Nefer,Chat.Action.EnemyAttack,Chat.Attack.Ranged,Map.Group.Upper,State.Combat.Normal,State.Party.AllAlive,State.Character.LowHP,Value.Main.Damage,15,Value.Sub.HPPercent,35,Speaker.Isis,네페르가 원거리 피해를 받고 체력이 낮을 때
T10003,Chat.Event.DamageTaken,Actor.Type.Player,Actor.Inpu,Actor.Type.Player,Actor.Inpu,Chat.Action.EnemyAttack,Chat.Attack.Trap,Map.Group.Deep,State.Combat.Normal,State.Party.AllAlive,State.Character.LowHP,Value.Main.Damage,10,Value.Sub.HPPercent,40,Speaker.Anubis,인푸가 함정 피해를 받고 위험 상태일 때
T10004,Chat.Event.BasicAttackHit,Actor.Type.Player,Actor.Heru,Actor.Type.Enemy,Actor.Scarab,Chat.Action.BasicAttack,Chat.Attack.Melee,Map.Group.Surface,State.Combat.Normal,State.Party.AllAlive,State.Character.Normal,Value.Main.Damage,10,Value.Sub.None,,Speaker.Horus,헤루의 기본 공격이 스카라베에게 적중
T10005,Chat.Event.BasicAttackHit,Actor.Type.Player,Actor.Nefer,Actor.Type.Enemy,Actor.BlackScorpion,Chat.Action.BasicAttack,Chat.Attack.Ranged,Map.Group.Surface,State.Combat.Normal,State.Party.AllAlive,State.Character.Normal,Value.Main.Damage,10,Value.Sub.HitCount,3,Speaker.Isis,네페르가 원거리 기본 공격을 연속 적중
T10006,Chat.Event.SkillHit,Actor.Type.Player,Actor.Heru,Actor.Type.Enemy,Actor.Mummy,Chat.Action.Skill,Chat.Attack.Melee,Map.Group.Upper,State.Combat.Normal,State.Party.AllAlive,State.Character.Buffed,Value.Main.Damage,25,Value.Sub.HitCount,2,Speaker.Ra,헤루가 버프 상태에서 스킬을 적중
T10007,Chat.Event.SkillHit,Actor.Type.Player,Actor.Nefer,Actor.Type.Enemy,Actor.BlackSerpent,Chat.Action.Skill,Chat.Attack.Ranged,Map.Group.Upper,State.Combat.Elite,State.Party.AllAlive,State.Character.Normal,Value.Main.Damage,25,Value.Sub.HitCount,2,Speaker.Thoth,네페르가 엘리트 전투에서 스킬 적중
T10008,Chat.Event.SkillHit,Actor.Type.Player,Actor.Inpu,Actor.Type.Enemy,Actor.SetPriest,Chat.Action.Skill,Chat.Attack.DOT,Map.Group.Deep,State.Combat.Elite,State.Party.OneDown,State.Character.Debuffed,Value.Main.Damage,20,Value.Sub.Stack,2,Speaker.Anubis,인푸가 디버프 상태에서 지속 피해 스킬 적중
T10009,Chat.Event.UltimateUsed,Actor.Type.Player,Actor.Heru,Actor.Type.Enemy,Actor.Mummy,Chat.Action.Ultimate,Chat.Attack.Melee,Map.Group.Deep,State.Combat.Boss,State.Party.Critical,State.Character.LowHP,Value.Main.Damage,50,Value.Sub.None,,Speaker.Horus,위기 상황에서 헤루가 궁극기 사용
T10010,Chat.Event.UltimateUsed,Actor.Type.Player,Actor.Nefer,Actor.Type.Enemy,Actor.BlackSerpent,Chat.Action.Ultimate,Chat.Attack.Ranged,Map.Group.Deep,State.Combat.Boss,State.Party.Critical,State.Character.LowHP,Value.Main.Damage,50,Value.Sub.None,,Speaker.Isis,위기 상황에서 네페르가 궁극기 사용
T10011,Chat.Event.KillEnemy,Actor.Type.Player,Actor.Heru,Actor.Type.Enemy,Actor.Scarab,Chat.Action.BasicAttack,Chat.Attack.Melee,Map.Group.Surface,State.Combat.Normal,State.Party.AllAlive,State.Character.Normal,Value.Main.KillCount,1,Value.Sub.None,,Speaker.Ra,헤루가 일반 적 처치
